Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
Low,High,9.5,Heavy Rain,partly cloudy,Normal Pressure,Moderate,Winter,3.5,inland,Rainy
Very High,Very High,8.5,Moderate Rain,partly cloudy,High Pressure,Extreme,Spring,10.0,inland,Cloudy
High,Low,7.0,Dry,clear,High Pressure,High,Spring,5.5,mountain,Sunny
Very High,High,1.5,Heavy Rain,clear,Very High Pressure,Extreme,Spring,1.0,coastal,Sunny
High,High,17.0,Moderate Rain,overcast,Low Pressure,Low,Winter,2.5,mountain,Rainy
High,Low,3.5,Dry,overcast,Normal Pressure,Moderate,Summer,5.0,inland,Cloudy
Very Low,Very High,8.0,Heavy Rain,overcast,Low Pressure,Low,Winter,4.0,inland,Snowy
Very Low,Very High,6.0,Heavy Rain,partly cloudy,Very low Pressure,Low,Winter,3.5,inland,Snowy
Very Low,High,6.0,Moderate Rain,overcast,Low Pressure,Low,Winter,1.0,mountain,Snowy
Very High,Very Low,2.0,Dry,clear,Very High Pressure,Extreme,Autumn,7.5,inland,Sunny
Low,Low,10.5,Dry,partly cloudy,High Pressure,Moderate,Autumn,5.5,mountain,Cloudy
Very Low,Very High,15.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,1.5,inland,Snowy
High,Very Low,3.5,Dry,clear,High Pressure,Extreme,Winter,5.5,coastal,Sunny
Low,Low,6.5,Light Rain,partly cloudy,Low Pressure,Moderate,Summer,8.5,mountain,Cloudy
High,Very Low,7.0,Dry,partly cloudy,High Pressure,High,Spring,7.5,inland,Sunny
Very High,Low,0.5,Dry,overcast,Normal Pressure,Moderate,Autumn,5.5,coastal,Cloudy
Very High,Very Low,0.5,Dry,clear,Very High Pressure,Extreme,Spring,6.0,mountain,Sunny
Very Low,Low,8.5,Moderate Rain,overcast,Low Pressure,Low,Winter,3.0,mountain,Snowy
Very Low,Very High,12.5,Heavy Rain,overcast,Very low Pressure,Low,Winter,3.0,inland,Snowy
Very High,Very Low,7.5,Dry,clear,High Pressure,Extreme,Summer,9.5,mountain,Sunny
High,High,13.5,Light Rain,overcast,High Pressure,Low,Summer,9.0,inland,Cloudy
Very Low,High,1.0,Heavy Rain,partly cloudy,Very low Pressure,Low,Winter,4.5,inland,Snowy
Low,High,7.5,Moderate Rain,overcast,Normal Pressure,Moderate,Summer,3.0,mountain,Rainy
Very High,Low,4.0,Dry,partly cloudy,High Pressure,Extreme,Winter,9.5,coastal,Sunny
High,Low,6.5,Dry,partly cloudy,High Pressure,Extreme,Autumn,5.5,mountain,Sunny
High,High,16.0,Light Rain,partly cloudy,Normal Pressure,Low,Winter,3.0,mountain,Rainy
High,Very High,7.0,Heavy Rain,overcast,Low Pressure,Low,Spring,2.0,coastal,Rainy
Very Low,Low,16.5,Moderate Rain,overcast,Low Pressure,Low,Winter,1.0,inland,Snowy
Very Low,Very High,2.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,4.5,inland,Snowy
High,High,3.0,Dry,clear,High Pressure,Extreme,Winter,5.5,inland,Sunny
Very High,Very Low,10.0,Dry,clear,Very High Pressure,High,Autumn,7.5,coastal,Sunny
Low,Very High,25.5,Moderate Rain,partly cloudy,Low Pressure,Low,Winter,1.0,mountain,Rainy
High,Low,11.5,Light Rain,partly cloudy,High Pressure,Moderate,Autumn,8.0,coastal,Cloudy
High,Very Low,0.5,Dry,partly cloudy,High Pressure,Extreme,Winter,8.5,inland,Sunny
Very High,Very Low,1.0,Dry,clear,Very High Pressure,Extreme,Summer,5.5,mountain,Sunny
High,Low,15.0,Light Rain,partly cloudy,High Pressure,Moderate,Winter,8.5,mountain,Cloudy
Very High,Low,2.0,Dry,partly cloudy,Very High Pressure,Extreme,Autumn,8.0,mountain,Sunny
Low,Very Low,10.0,Dry,clear,High Pressure,Extreme,Spring,6.0,mountain,Sunny
High,Low,0.0,Dry,clear,High Pressure,High,Summer,8.0,coastal,Sunny
Very High,Low,9.0,Dry,partly cloudy,High Pressure,Moderate,Autumn,6.0,mountain,Cloudy
High,Very Low,2.5,Dry,partly cloudy,Normal Pressure,Extreme,Winter,5.0,mountain,Sunny
